method,seed,round,round_theta_index,theta_per_round,parameter_id,t_lead,delta_T_thr,G_ext,Q_ratio,tau,D_E_sec,D_G_sec,score,best_so_far,penalty,final_status,failure_reason,termination_reason,emergency_arrived,emergency_teleport,background_teleported,signal_event_count,stage2_hold_count,stage3_preemption_count,surrogate_mean,surrogate_ci_low,surrogate_ci_high,raw_ei_acquisition,acquisition,essi_acquisition,essi_1,essi_2,essi_3,essi_4,essi_5,essi_6,essi_max,essi_mean,essi_log_max,dominant_essi_subspace,spatial_activation_score,raw_score,essi_log_max_ewma,essi_spc_status,essi_stop_recommended
BO,20260607,1,1,6,bo_r01_001_tl50_dt212_ge40_qr62_tau90,50,212,40,0.62,0.9,331.92,1607.01,447.84,447.84,0.00,PASS,,recovery_detected,True,False,0,299,0,34,,,,,,,,,,,,,,,,,,447.84,,,
BO,20260607,1,2,6,bo_r01_002_tl80_dt143_ge18_qr17_tau79,80,143,18,0.17,0.79,305.92,1833.83,444.82,444.82,0.00,PASS,,recovery_detected,True,False,0,572,0,52,,,,,,,,,,,,,,,,,,444.82,,,
BO,20260607,1,3,6,bo_r01_003_tl56_dt74_ge28_qr32_tau74,56,74,28,0.32,0.74,293.92,1865.11,436.76,436.76,0.00,PASS,,recovery_detected,True,False,0,563,0,39,,,,,,,,,,,,,,,,,,436.76,,,
BO,20260607,1,4,6,bo_r01_004_tl117_dt156_ge35_qr21_tau70,117,156,35,0.21,0.7,451.92,1646.18,560.49,436.76,0.00,PASS,,recovery_detected,True,False,0,372,0,45,,,,,,,,,,,,,,,,,,560.49,,,
BO,20260607,1,5,6,bo_r01_005_tl43_dt211_ge31_qr66_tau75,43,211,31,0.66,0.75,431.92,1702.43,547.42,436.76,0.00,PASS,,recovery_detected,True,False,0,389,0,47,,,,,,,,,,,,,,,,,,547.42,,,
BO,20260607,1,6,6,bo_r01_006_tl77_dt210_ge17_qr42_tau85,77,210,17,0.42,0.85,275.92,1897.37,423.32,423.32,0.00,PASS,,recovery_detected,True,False,0,338,0,50,,,,,,,,,,,,,,,,,,423.32,,,
BO,20260607,2,1,6,bo_r02_001_tl120_dt59_ge19_qr20_tau87,120,59,19,0.2,0.87,177.92,1998.60,343.44,343.44,0.00,PASS,,recovery_detected,True,False,0,788,0,39,477.18,368.88,585.47,,,,,,,,,,,,,,,343.44,,,
BO,20260607,2,2,6,bo_r02_002_tl49_dt122_ge12_qr53_tau77,49,122,12,0.53,0.77,377.92,1771.04,504.57,343.44,0.00,PASS,,recovery_detected,True,False,0,602,0,72,474.96,366.71,583.22,,,,,,,,,,,,,,,504.57,,,
BO,20260607,2,3,6,bo_r02_003_tl88_dt70_ge3_qr0_tau77,88,70,3,0.0,0.77,382.92,1718.00,504.29,343.44,0.00,PASS,,recovery_detected,True,False,0,1481,0,103,476.28,367.98,584.57,,,,,,,,,,,,,,,504.29,,,
BO,20260607,2,4,6,bo_r02_004_tl73_dt1_ge22_qr10_tau87,73,1,22,0.1,0.87,263.92,1825.71,405.90,343.44,0.00,PASS,,recovery_detected,True,False,0,4602,0,16,459.87,360.54,559.20,,,,,,,,,,,,,,,405.90,,,
BO,20260607,2,5,6,bo_r02_005_tl12_dt151_ge30_qr53_tau80,12,151,30,0.53,0.8,287.92,1852.82,430.18,343.44,0.00,PASS,,recovery_detected,True,False,0,490,0,42,478.42,370.14,586.69,,,,,,,,,,,,,,,430.18,,,
BO,20260607,2,6,6,bo_r02_006_tl121_dt65_ge11_qr46_tau73,121,65,11,0.46,0.73,289.92,1819.65,428.99,343.44,0.00,PASS,,recovery_detected,True,False,0,796,0,63,476.76,368.47,585.06,,,,,,,,,,,,,,,428.99,,,
BO,20260607,3,1,6,bo_r03_001_tl22_dt31_ge1_qr54_tau72,22,31,1,0.54,0.72,171.92,2011.09,339.12,339.12,0.00,PASS,,recovery_detected,True,False,0,2366,0,56,457.10,340.91,573.28,,,,,,,,,,,,,,,339.12,,,
BO,20260607,3,2,6,bo_r03_002_tl55_dt52_ge38_qr75_tau71,55,52,38,0.75,0.71,161.92,2022.04,331.02,331.02,0.00,PASS,,recovery_detected,True,False,0,960,0,27,451.80,370.59,533.00,,,,,,,,,,,,,,,331.02,,,
BO,20260607,3,3,6,bo_r03_003_tl117_dt3_ge19_qr98_tau78,117,3,19,0.98,0.78,283.92,1821.24,423.68,331.02,0.00,PASS,,recovery_detected,True,False,0,5110,0,17,360.10,300.32,419.89,,,,,,,,,,,,,,,423.68,,,
BO,20260607,3,4,6,bo_r03_004_tl95_dt181_ge20_qr27_tau74,95,181,20,0.27,0.74,324.92,1842.82,462.91,331.02,0.00,PASS,,recovery_detected,True,False,0,406,0,54,457.37,346.56,568.18,,,,,,,,,,,,,,,462.91,,,
BO,20260607,3,5,6,bo_r03_005_tl26_dt127_ge1_qr65_tau72,26,127,1,0.65,0.72,334.92,1759.56,464.43,331.02,0.00,PASS,,recovery_detected,True,False,0,1372,0,107,457.54,341.37,573.71,,,,,,,,,,,,,,,464.43,,,
