candidate,movement_id,tls_id,from_edge,to_edge,linkIndex,control_linkIndex,ev_route_linkIndex,parallel_through_linkIndex,same_lane_blocking_linkIndex,flush_linkIndex,selected_flush_phase,full_through_phase_available,same_lane_blocker_flush_available,control_strategy,mapped_S_segment,route_order_index,stopline_local_queue_m_proxy,local_queue_m_proxy_80m,local_queue_m_proxy_100m,local_queue_m_proxy_120m,corridor_queue_m_proxy,local_fill_80m,local_fill_100m,local_fill_120m,stopline_local_fill_100m,corridor_fill_250m,approach_speed_kmh,density,occupancy,waiting,timeLoss,low_speed_interval_count,fast_dense_flow,signal_only_delay,control_candidate,trigger_reason,traffic_pressure,operational_queue,downstream_blockage_evidence,bottleneck_risk,control_mode,queue_evidence_source
B04_ad_variance_smoothed,B4_MOVEMENT_00,CSV_TLS_S01_S02_SEONGDONG_GLOBAL_BUSINESS_HIGH_SCHOOL,-174870621#2,-174870621#0,1 2 3,1 2 3,1 2 3,1 2 3,0,0,2,True,True,parallel_through_green,S1:upbound,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.452,9.38,4.83,2304.34,1.43,1,False,True,True,speed_le_15kmh,False,True,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_01,CSV_TLS_S02_S03_HANYANG_TECHNICAL_HIGH_SCHOOL_FRONT,800229255,180368918#0,3 4 5,3 4 5,3 4 5,3 4 5,,,,True,False,parallel_through_green,S2:upbound,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.134,38.06,19.24,2304.34,454.46,2,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_02,cluster_3846534041_436877431,180368918#3,180368918#5,0 1 2,0 1 2,0 1 2,0 1 2,3,3,0,True,False,parallel_through_green,S3:upbound,12,16.263,16.263,16.263,16.263,16.263,0.203288,0.16263,0.135525,0.16263,0.227391,11.539,98.03,48.66,748.67,748.67,35,False,False,True,speed_le_15kmh,False,True,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_03,CSV_TLS_S05_S06_GWANGHUI_INTERSECTION,180368918#8,218773868#0,5 6,5 6,5 6,5 6,4 7,4 7,2,True,True,parallel_through_green,S5:upbound,16,1.551,1.551,1.551,15.263,1.551,0.019387,0.01551,0.127192,0.01551,0.015629,32.517,98.03,48.66,272.0,300.53,34,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_04,joinedS_7335400058_cluster_13348213189_13348213190_13348213191_4273893706_#1more,-1455512070,428260110,7 8,7 8,7 8,7 8,6 9,6 9,0,True,False,parallel_through_green,S6:upbound,23,22.258,22.258,22.258,22.258,22.258,0.278225,0.22258,0.185483,0.22258,0.089032,19.442,67.83,35.86,544.25,544.25,0,False,False,False,below_default_trigger,True,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_05,CSV_TLS_S08_S09_TOEGYE_RO_4_GA,785130600#3,1455497345,0 1,0 1,0 1,0 1,2,2,2,True,True,parallel_through_green,S7:upbound,28,2.881,2.881,2.881,2.881,2.881,0.036012,0.02881,0.024008,0.02881,0.011524,34.098,20.28,11.07,134.43,114.34,1,False,False,False,below_default_trigger,False,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_06,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#7,218773869#8,6 7 8,6 7 8,6 7 8,6 7 8,,,,True,False,parallel_through_green,S9:upbound,35,48.982,48.982,48.982,60.0,70.314,0.612275,0.48982,0.5,0.48982,0.281256,2.873,128.41,64.06,2079.25,2079.25,315,False,False,True,speed_le_15kmh,True,True,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_07,joinedS_11346754524_11346754527_7335400049_cluster_11346754525_11346754526_2784736947_414685366_#2more,218773869#9,219696193#1,24 25,24 25,24 25,24 25,23,23,8,True,False,parallel_through_green,S9:upbound,37,48.982,48.982,48.982,48.982,70.314,0.612275,0.48982,0.408183,0.48982,0.281256,2.873,128.41,64.06,2079.25,2079.25,315,False,False,True,speed_le_15kmh,True,True,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_08,CSV_TLS_S11_S12_TOEGYE_RO_2_GA,420361196,180445419,0 1,0 1,0 1,0 1,,,,True,False,parallel_through_green,S11:upbound,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.559,14.92,7.75,51.1,8.74,2,True,False,False,below_default_trigger,True,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_09,CSV_TLS_S13_S14_MYEONGDONG_STATION_FRONT,347237859#1,347237859#2,0 1 2,0 1 2,0 1 2,0 1 2,3,3,2,True,True,parallel_through_green,S13:upbound,45,0.346,0.0,0.346,0.747,2.068,0.0,0.00346,0.006225,0.00346,0.01112,35.93,16.03,7.96,141.37,16.79,1,True,False,False,below_default_trigger,True,False,False,False,normal_preemptive,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
B04_ad_variance_smoothed,B4_MOVEMENT_10,CSV_TLS_S14_S15_DAYS_HOTEL_FRONT,347237859#4,347237859#5,0 1 2,0 1 2,0 1 2,0 1 2,,,,True,False,parallel_through_green,S14:upbound,48,7.191,6.901,7.191,7.191,7.191,0.086262,0.07191,0.059925,0.07191,0.042809,9.037,113.2,56.09,950.19,863.23,47,False,False,True,speed_le_15kmh,False,True,True,True,bottleneck_first,SUMO B04 B0 edgeData/laneData proxy only; no field-observed queue length.
