experiment_id,enabled_terminal_id,tls_id,route_id,b0_travel_time,b1_travel_time,travel_time_delta_sec,travel_time_improvement_pct,emergency_departed,emergency_arrived,emergency_teleport,route_error_count,controlled_tls_count,skipped_tls_count,intervention_count,green_extension_count,phase_switch_count,disabled_tls_count,background_teleport_ratio,sumo_exit_code,final_status,failure_reason,warning_reason,run_dir,stderr_log
er_acc_002_ER_ACC_002_PT_001,PT_001,11203059756,ER_ACC_002,177.0,177.0,0.0,-0.0,True,True,False,0,0,8,0,0,0,8,0.004587,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_001,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_001/sumo_stderr.log
er_acc_002_ER_ACC_002_PT_002,PT_002,11346754524,ER_ACC_002,177.0,177.0,0.0,-0.0,True,True,False,0,0,8,0,0,0,8,0.004587,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_002,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_002/sumo_stderr.log
er_acc_002_ER_ACC_002_PT_003,PT_003,11346754525,ER_ACC_002,177.0,178.0,1.0,-0.564972,True,True,False,0,1,7,1,1,0,7,0.003058,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_003,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_003/sumo_stderr.log
er_acc_002_ER_ACC_002_PT_004,PT_004,13732389937,ER_ACC_002,177.0,177.0,0.0,-0.0,True,True,False,0,0,8,0,0,0,8,0.004587,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_004,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_004/sumo_stderr.log
er_acc_002_ER_ACC_002_PT_005,PT_005,13732389938,ER_ACC_002,177.0,177.0,0.0,-0.0,True,True,False,0,0,8,0,0,0,8,0.004587,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_005,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_005/sumo_stderr.log
er_acc_002_ER_ACC_002_PT_006,PT_006,4202879197,ER_ACC_002,177.0,177.0,0.0,-0.0,True,True,False,0,0,8,0,0,0,8,0.004587,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_006,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_006/sumo_stderr.log
er_acc_002_ER_ACC_002_PT_007,PT_007,436870729,ER_ACC_002,177.0,177.0,0.0,-0.0,True,True,False,0,0,8,0,0,0,8,0.004587,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_007,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_007/sumo_stderr.log
er_acc_002_ER_ACC_002_PT_008,PT_008,7311080426,ER_ACC_002,177.0,177.0,0.0,-0.0,True,True,False,0,0,8,0,0,0,8,0.004587,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_008,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_008/sumo_stderr.log
er_acc_002_ER_ACC_002_PT_009,PT_009,7335400049,ER_ACC_002,177.0,177.0,0.0,-0.0,True,True,False,0,1,7,1,1,0,7,0.004587,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_009,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_009/sumo_stderr.log
er_acc_002_ER_ACC_002_PT_010,PT_010,cluster_11203041632_11203041633_11203041634_11203041635_#5more,ER_ACC_002,177.0,177.0,0.0,-0.0,True,True,False,0,0,8,0,0,0,7,0.004587,0,WARNING,,background_teleports_present,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_010,runs/b1_single_terminal_signal_experiment/er_acc_002/ER_ACC_002/PT_010/sumo_stderr.log
